361.94	1.6748	0.22774	361.94	1.6748	0.22774	361.94	1.8636	0	
363.53	1.6739	0.22471	363.53	1.6739	0.22471	363.53	1.8513	0	
365.12	1.6729	0.22187	365.12	1.6729	0.22187	365.12	1.8402	0	
366.71	1.6717	0.21932	366.71	1.6717	0.21932	366.71	1.8297	0	
368.29	1.6704	0.21687	368.29	1.6704	0.21687	368.29	1.8201	0	
369.88	1.6688	0.21441	369.88	1.6688	0.21441	369.88	1.8091	0	
371.47	1.6669	0.21183	371.47	1.6669	0.21183	371.47	1.7978	0	
373.05	1.6648	0.2096	373.05	1.6648	0.2096	373.05	1.7873	0	
374.64	1.6622	0.2076	374.64	1.6622	0.2076	374.64	1.7764	0	
376.23	1.6594	0.20598	376.23	1.6594	0.20598	376.23	1.7668	0	
377.82	1.6561	0.20463	377.82	1.6561	0.20463	377.82	1.7567	0	
379.4	1.6531	0.20353	379.4	1.6531	0.20353	379.4	1.7461	0	
380.99	1.6499	0.20304	380.99	1.6499	0.20304	380.99	1.7373	0	
382.58	1.6465	0.20282	382.58	1.6465	0.20282	382.58	1.7281	0	
384.17	1.643	0.2028	384.17	1.643	0.2028	384.17	1.7197	0	
385.75	1.6398	0.20292	385.75	1.6398	0.20292	385.75	1.7109	0	
387.34	1.6365	0.20322	387.34	1.6365	0.20322	387.34	1.7022	0	
388.93	1.6331	0.20372	388.93	1.6331	0.20372	388.93	1.6933	0	
390.51	1.6296	0.20456	390.51	1.6296	0.20456	390.51	1.6864	0	
392.1	1.6263	0.20553	392.1	1.6263	0.20553	392.1	1.6783	0	
393.69	1.623	0.20662	393.69	1.623	0.20662	393.69	1.6708	0	
395.28	1.6197	0.20809	395.28	1.6197	0.20809	395.28	1.6631	0	
396.86	1.6166	0.20987	396.86	1.6166	0.20987	396.86	1.6574	0	
398.45	1.6136	0.21166	398.45	1.6136	0.21166	398.45	1.6518	0	
400.04	1.6105	0.21367	400.04	1.6105	0.21367	400.04	1.6458	0	
401.63	1.6072	0.21605	401.63	1.6072	0.21605	401.63	1.6406	0	
403.21	1.6038	0.2186	403.21	1.6038	0.2186	403.21	1.6347	0	
404.8	1.6006	0.22178	404.8	1.6006	0.22178	404.8	1.6307	0	
406.39	1.5975	0.22523	406.39	1.5975	0.22523	406.39	1.6263	0.00057252	
407.97	1.5942	0.22891	407.97	1.5942	0.22891	407.97	1.6221	0.0048814	
409.56	1.591	0.23272	409.56	1.591	0.23272	409.56	1.6197	0.010455	
411.15	1.588	0.23649	411.15	1.588	0.23649	411.15	1.6165	0.015912	
412.74	1.5851	0.24044	412.74	1.5851	0.24044	412.74	1.6129	0.02057	
414.32	1.5826	0.24467	414.32	1.5826	0.24467	414.32	1.6102	0.024516	
415.91	1.58	0.24934	415.91	1.58	0.24934	415.91	1.6081	0.028574	
417.5	1.5774	0.25381	417.5	1.5774	0.25381	417.5	1.6057	0.032084	
419.08	1.5749	0.25855	419.08	1.5749	0.25855	419.08	1.6042	0.037101	
420.67	1.5728	0.26306	420.67	1.5728	0.26306	420.67	1.6011	0.042053	
422.26	1.5705	0.26794	422.26	1.5705	0.26794	422.26	1.5992	0.047421	
423.85	1.5682	0.2732	423.85	1.5682	0.2732	423.85	1.5973	0.051857	
425.43	1.5659	0.27887	425.43	1.5659	0.27887	425.43	1.596	0.05645	
427.02	1.5638	0.2849	427.02	1.5638	0.2849	427.02	1.5946	0.060564	
428.61	1.5619	0.29117	428.61	1.5619	0.29117	428.61	1.5937	0.065153	
430.19	1.5603	0.29777	430.19	1.5603	0.29777	430.19	1.5928	0.070136	
431.78	1.5589	0.30441	431.78	1.5589	0.30441	431.78	1.5925	0.076107	
433.37	1.5581	0.31134	433.37	1.5581	0.31134	433.37	1.5927	0.080729	
434.95	1.5575	0.31813	434.95	1.5575	0.31813	434.95	1.5917	0.085842	
436.54	1.5573	0.32506	436.54	1.5573	0.32506	436.54	1.5914	0.089402	
438.13	1.557	0.3322	438.13	1.557	0.3322	438.13	1.5917	0.093139	
439.72	1.5572	0.33932	439.72	1.5572	0.33932	439.72	1.592	0.095696	
441.3	1.5574	0.3465	441.3	1.5574	0.3465	441.3	1.5917	0.099679	
442.89	1.558	0.35373	442.89	1.558	0.35373	442.89	1.5916	0.10354	
444.48	1.5588	0.36114	444.48	1.5588	0.36114	444.48	1.5916	0.10812	
446.06	1.5598	0.36889	446.06	1.5598	0.36889	446.06	1.5911	0.11256	
447.65	1.561	0.37668	447.65	1.561	0.37668	447.65	1.5907	0.11607	
449.24	1.5624	0.38469	449.24	1.5624	0.38469	449.24	1.5908	0.11972	
450.82	1.5643	0.39283	450.82	1.5643	0.39283	450.82	1.592	0.12228	
452.41	1.5665	0.40109	452.41	1.5665	0.40109	452.41	1.5931	0.12509	
454	1.5692	0.41	454	1.5692	0.41	454	1.5943	0.12807	
455.58	1.5725	0.4188	455.58	1.5725	0.4188	455.58	1.5954	0.13148	
457.17	1.5759	0.42776	457.17	1.5759	0.42776	457.17	1.5951	0.13553	
458.76	1.5801	0.43659	458.76	1.5801	0.43659	458.76	1.5958	0.13909	
460.34	1.5848	0.44542	460.34	1.5848	0.44542	460.34	1.5961	0.1432	
461.93	1.5898	0.45436	461.93	1.5898	0.45436	461.93	1.5975	0.14682	
463.52	1.5954	0.46338	463.52	1.5954	0.46338	463.52	1.5995	0.14946	
465.1	1.6016	0.47257	465.1	1.6016	0.47257	465.1	1.6016	0.15242	
466.69	1.6086	0.48187	466.69	1.6086	0.48187	466.69	1.6033	0.15447	
468.28	1.6161	0.49023	468.28	1.6161	0.49023	468.28	1.6064	0.15663	
469.86	1.6239	0.49775	469.86	1.6239	0.49775	469.86	1.6077	0.15927	
471.45	1.6325	0.50529	471.45	1.6325	0.50529	471.45	1.608	0.16316	
473.04	1.6418	0.51285	473.04	1.6418	0.51285	473.04	1.6096	0.16583	
474.62	1.6514	0.51962	474.62	1.6514	0.51962	474.62	1.6122	0.1688	
476.21	1.6617	0.52665	476.21	1.6617	0.52665	476.21	1.6138	0.17164	
477.79	1.6727	0.53356	477.79	1.6727	0.53356	477.79	1.6163	0.17388	
479.38	1.6837	0.53945	479.38	1.6837	0.53945	479.38	1.6185	0.17624	
480.97	1.6944	0.54434	480.97	1.6944	0.54434	480.97	1.6212	0.17858	
482.55	1.7052	0.5487	482.55	1.7052	0.5487	482.55	1.6236	0.18029	
484.14	1.7165	0.55275	484.14	1.7165	0.55275	484.14	1.6265	0.18275	
